1,Adalah penting bagi saya untuk mempunyai badan yang kuat dan tangkas.
2,Saya perlu memahami sesuatu dengan teliti.
3,"Semua jenis muzik, warna dan keindahan boleh mempengaruhi 'mood' saya."
4,Manusia memberi makna dan kebahagian di dalam kehidupan saya.
5,Saya berkeyakinan bahawa saya boleh melakukan sesuatu perkara dengan jayanya.
6,Saya memerlukan arahan yang jelas dan tepat agar saya tahu apa yang perlu dilakukan.
7,Saya selalu membawa / memasang / membaiki sesuatu benda tanpa bantuan orang lain.
8,Saya boleh menjadi asyik untuk satu tempoh masa apabila memikirkan penyelesaian kepada sesuatu perkara.
9,"Saya menghargai persekitaran yang cantik dan pada masa yang sama, warna serta reka bentuk memberi makna kepada saya."
10,Saya meluangkan masa untuk menolong orang lain mencari jalan penyelesaian kepada masalah peribadi mereka.
11,Saya suka bersaing dengan orang lain.
12,Saya meluangkan masa untuk membuat perancangan secara teliti sebelum memulakan sesuatu tugasan.
13,Saya gembira membuat sesuatu perkara hasil kerja tangan saya sendiri.
14,Saya berasa puas hati apabila dapat menerokai idea-idea baru.
15,Saya selalu mencari cara-cara baru untuk mempamerkan kreativiti saya.
16,Saya suka berkongsi masalah peribadi dengan orang lain.
17,Saya berasa bangga menjadi orang yang penting dalam sesebuah kumpulan.
18,Saya berasa bangga apabila dapat melakukan sesuatu perkara dengan sangat teliti.
19,Saya tidak kisah jika tangan saya kotor sewaktu melakukan sesuatu perkara.
20,Saya melihat pelajaran itu sebagai satu proses seumur hidup untuk membangun dan menajamkan pemikiran saya.
21,Saya suka berpakaian luar biasa dan mencuba warna serta fesyen yang terbaru.
22,Saya dapat merasakan apabila seseorang itu memerlukan orang lain untuk bercakap dengannya.
23,Saya suka menguruskan orang lain dan bersiap sedia memulakan tugas.
24,Saya memilih untuk berhati-hati daripada mengambil risiko apabila membuat sesuatu keputusan.
25,Saya suka membeli sesuatu benda yang praktikal dan kemudian memasangnya sendiri.
26,Kadang kala saya boleh duduk bersendirian untuk tempoh masa yang lama dan melakukan aktiviti seperti membaca atau memikirkan tentang kehidupan.
27,Saya mempunyai daya imaginasi yang tinggi.
28,Saya suka membantu orang lain mengembangkan bakat dan kebolehan mereka.
29,Saya suka orang lain bergantung kepada saya untuk menyiapkan sesuatu kerja.
30,Saya selalunya membuat perancangan secara teliti dan lebih awal sekiranya saya terpaksa mengendalikan situasi baru.
31,Saya lebih suka melakukan aktiviti-aktiviti yang praktikal dan hasil kerja tangan secara sendirian.
32,Saya tidak sabar untuk membaca apa jua jenis bahan bacaan yang boleh menarik minat saya.
33,Saya suka mencuba idea-idea baru yang kreatif.
34,"Sekiranya saya mempunyai masalah dengan seseorang, saya akan cuba menyelesaikannya dengan cara yang tenang."
35,"Untuk berjaya, kita mesti mempunyai cita-cita yang tinggi."
36,Saya tidak suka mempunyai tanggungjawab yang memerlukan saya membuat keputusan yang penting.
37,Saya menyatakan pendapat saya tanpa berdolak dalih.
38,Saya perlu membuat analisis sesuatu masalah dengan teliti sebelum mengambil sebarang tindakan.
39,Saya suka mengubah susun atur persekitaran saya untuk kelihatan unik dan berlainan.
40,Saya sering menyelesaikan masalah peribadi saya dengan meluahkannya kepada orang lain.
41,Saya akan memulakan sesuatu projek dan membiarkan orang lain menguruskannya secara terperinci.
42,Menepati masa adalah sangat mustahak bagi saya.
43,Melakukan aktiviti-aktiviti luaran adalah sesuatu yang amat menyegarkan.
44,Saya sering mengajukan pertanyaan 'mengapa'.
45,Saya suka apabila hasil kerja saya menggambarkan perasaan dan 'mood' saya.
46,Saya suka menolong orang lain mencari jalan supaya mereka lebih mengambil berat di antara satu sama lain.
47,Adalah sesuatu yang menyeronokkan apabila berpeluang untuk melibatkan diri dalam membuat sesuatu keputusan yang penting.
48,Saya selalu memastikan barang-barang di sekeliling saya berada dalam keadaan yang teratur.
49,Saya suka keadaan persekitaran yang sederhana dan praktikal.
50,Saya akan memikirkan sesuatu masalah sehingga saya memperolehi jawapannya.
51,Keindahan alam semulajadi sangat menyentuh perasaan saya.
52,Saya amat mementingkan hubungan peribadi yang erat.
53,Kenaikan pangkat dan perkembangan diri serta kerjaya adalah penting bagi saya.
54,Saya berasa lebih tenteram apabila aktiviti harian saya telah dirancang.
55,"Pada pendapat saya, sistem undang-undang dan peraturan yang tegas adalah penting untuk mencegah kekacauan."
56,Buku-buku yang berbentuk mencabar pemikiran selalunya membantu meluaskan perspektif saya.
57,"Saya suka menonton pertunjukkan kesenian, drama dan wayang gambar."
58,Saya boleh mengurus dan memahami orang yang meluahkan perasaannya secara berlebihan.
59,Adalah sesuatu yang menyeronokkan apabila dapat mempengaruhi seseorang.
60,"Apabila saya menetapkan untuk melakukan sesuatu, saya akan melakukannya dengan teratur dan terperinci."
61,Kerja-kerja yang menggunakan tenaga atau kekuatan fizikal bukanlah sesuatu yang sukar dilakukan.
62,Saya suka mempelajari sesuatu perkara yang saya minati dengan mendalam.
63,Saya tidak suka disamakan dengan orang lain kerana saya suka membuat sesuatu yang berlainan.
64,"Apabila seseorang menghadapi masalah, saya akan cuba meluangkan masa untuk membantu mereka."
65,Saya bersedia mengambil risiko untuk maju ke hadapan.
66,Saya berasa lebih tenteram apabila saya mematuhi peraturan.
67,Perkara pertama yang saya lihat pada sesebuah kereta ialah kebagusan enjinnya.
68,Saya suka perbincangan yang meningkatkan kemahiran intelektual saya.
69,"Apabila saya sedang mencipta sesuatu, saya cenderung mengabaikan perkara-perkara lain."
70,Saya berasa risau kerana terlalu ramai orang yang memerlukan pertolongan dalam masyarakat kita.
71,Adalah sesuatu yang menyeronokkan apabila sesuatu idea dapat disampaikan kepada orang lain.
72,Saya sangat cekap menyemak sesuatu perkara secara terperinci.
73,Selalunya saya tahu apa yang perlu dilakukan dalam situasi kecemasan.
74,Membaca tentang penemuan-penemuan terbaru amat menyeronokkan bagi diri saya.
75,Saya suka mencipta sesuatu perkara yang menarik.
76,Selalunya saya akan meluangkan masa untuk mendampingi orang-orang yang kesepian dan tiada berteman.
77,Saya suka tawar-menawar.
78,Saya sangat berhati-hati apabila membelanjakan wang.
79,"Bagi saya, bersukan adalah penting untuk membina badan yang sihat dan kuat."
80,Saya selalu ingin tahu bagaimana alam semesta ini berfungsi.
81,Saya berasa seronok apabila mencuba atau membuat sesuatu yang luar biasa.
82,Saya seorang pendengar yang baik apabila seseorang meluahkan masalah peribadinya kepada saya.
83,"Jika saya gagal membuat sesuatu perkara pada kali pertama, selalunya saya akan bangkit semula dengan penuh semangat."
84,Saya perlu mengetahui dengan tepat apa yang orang lain harapkan daripada saya.
85,Saya suka memisahkan sesuatu benda untuk melihat sama ada saya boleh memasangkannya semula.
86,"Pada pendapat saya, kita perlu memikir dan merancang tindakan yang tepat sebelum melaksanakan sesuatu perkara."
87,Saya tidak dapat membayangkan keadaan hidup saya jika tiada keindahan di sekeliling saya.
88,Orang lain cenderung untuk menceritakan masalah mereka kepada saya.
89,Selalunya saya boleh berhubung dengan orang-orang yang saya perlukan dengan menggunakan sumber-sumber yang ada.
90,Adalah amat memuaskan bagi saya apabila dapat melakukan sesuatu tugas secara teliti dan sempurna.
,
" Bagi pernyataan 91 - 150,sekiranya anda suka melakukan aktiviti yang berkenaan, sila tandakan di ruangan jawapan 'A'. Sekiranya anda tidak suka melakukan aktiviti yang berkenaan, sila tandakan di ruangan jawapan 'B' yang disediakan.",
BAHAGIAN B,
,
"Sekiranya diberi peluang, saya suka...",
91,Membaiki perkakasan elektrik.
92,membaiki kereta.
93,Membaiki peralatan mekanikal.
94,Menghasilkan barang daripada kayu.
95,Mengikuti kursus lukisan mekanikal.
96,Mengikuti kursus pertukangan kerja kayu.
97,Mengikuti kursus mekanik kenderaan.
98,Bekerja dengan mekanik atau juruteknik yang terkenal.
99,Bekerja di luar pejabat.
100,Mengendalikan mesin atau peralatan bermotor.
101,Membaca buku atau majalah saintifik.
102,Bekerja di pejabat atau makmal penyelidikan.
103,Belajar teori saintifik.
104,Bekerja dengan bahan kimia.
105,Menggunakan matematik kepada permasalahan praktikal.
106,Mengambil kursus Fizik.
107,Mengambil kursus Kimia.
108,Mengambil kursus Matematik.
109,Mengambil kursus Biologi.
110,Mengkaji permasalahan akademik atau teknikal.
111,"Membuat lakaran, melukis atau mewarna."
112,"Merekacipta perabot, pakaian atau poster."
113,Berlatih menggunakan peralatan muzik.
114,Merekabentuk potret atau fotograf.
115,Menulis novel atau drama.
116,Mengikuti kursus kesenian.
117,Menyusun atau mengubah sebarang bentuk muzik.
118,"Bekerja dengan artis, penulis atau pelukis yang berbakat."
119,"Membuat persembahan untuk orang lain seperti menari, menyanyi, berlakon dan sebagainya."
120,"Membaca artikel berbentuk artistik, kesusteraan atau muzikal."
121,Membaca artikel atau buku sosiologi.
122,Membuat kerja kebajikan atau sukarela.
123,Membantu orang lain dengan permasalahan peribadi mereka.
124,Mengkaji kenakalan remaja.
125,Membaca artikel atau buku psikologi.
126,Mengambil kursus perhubungan manusia.
127,Mengajar di sekolah menengah.
128,Menyelia aktiviti bagi pesakit kesihatan mental.
129,Mengajar di kelas orang dewasa.
130,Bekerja sebagai sukarelawan.
131,Mempelajari strategi kejayaan dalam perniagaan.
132,Menguruskan perniagaan atau syarikat sendiri.
133,Mengambil kursus jangka pendek mengenai pentadbiran atau kepimpinan.
134,Berkhidmat sebagai pegawai mana-mana organisasi.
135,Menyelia kerja orang lain.
136,Berjumpa dengan eksekutif dan pemimpin yang penting.
137,Mengetuai kumpulan dalam mencapai matlamat tertentu.
138,Mengambil bahagian di dalam kempen parti politik.
139,Bertindak sebagai pakar runding (konsultant) organisasi atau perniagaan.
140,Membaca majalah atau artikel perniagaan.
141,Mengisi borang cukai pendapatan.
142,Menguruskan peralatan dan mesin di pejabat.
143,Menyimpan rekod perbelanjaan secara terperinci.
144,Membangunkan sistem penyimpanan rekod.
145,Mengambil kursus perakaunan.
146,Mengambil kursus Matematik Perdagangan.
147,Mengambil inventori barangan atau produk.
148,Menyemak kesalahan atau kelemahan di dalam kertas kerja atau produk.
149,Mengemaskini rekod atau fail.
150,Bekerja di dalam pejabat.
,
" Bagi pernyataan 151 - 210,sekiranya anda berkebolehan melakukan aktiviti yang berkenaan dengan baik, sila tandakan di ruangan jawapan 'A' yang disediakan. Sekiranya anda tidak berkebolehan melakukan aktiviti yang berkenaan, sila tandakan di ruangan jawapan 'B' yang disediakan.",
Saya berkebolehan...,
151,Membuat lakaran asas.
152,Menukar minyak kereta atau tayar.
153,"Menggunakan peralatan elektrik seperti mesin pengerudi, mesin pengisar atau mesin jahit."
154,Mengilat perabot atau kerja kayu.
155,Membaiki kerosakan perkakasan elektrikal yang kecil.
156,Membaiki perabot.
157,Menggunakan perkakasan pertukangan.
158,Membaiki kerosakan paip yang kecil.
159,Membentuk objek mudah daripada kayu.
160,Mengecat bilik di rumah atau apartmen.
161,Menggunakan algebra bagi menyelesaikan permasalahan matematik.
162,Melaksanakan eksperimen atau kaji selidik saintifik.
163,Memahami istilah 'separuh hayat' bagi elemen radioaktif.
164,Menggunakan jadual logaritma.
165,Menerangkan fungsi sel darah putih.
166,Membuat interpretasi formula kimia yang mudah.
167,Memahami mengapa satelit buatan manusia tidak jatuh ke bumi.
168,Menulis laporan saintifik.
169,Memahami teori 'Big Bang' bagi alam semesta.
170,Memahami fungsi DNA di dalam genetik.
171,Bermain alat muzik.
172,Membuat persembahan bermain alat muzik secara solo.
173,Berlakon di dalam pementasan.
174,Membuat pembacaan interpretasi.
175,"Mewarna yang berasaskan cat, warna air atau mengukir."
176,Menyusun atau mengubah muzik.
177,"Mereka cipta pakaian, poster atau perabot."
178,Menulis cerita atau puisi dengan baik.
179,Menulis teks ucapan.
180,Mengambil gambar (foto) yang menarik.
181,Beramah mesra dengan semua orang.
182,Memberi penerangan dengan baik kepada orang lain.
183,Merancang aktiviti kejiranan.
184,Mendengar atau memahami permasalahan orang lain apabila mereka datang untuk menceritakan permasalahan mereka.
185,Mengajar kanak-kanak dengan mudah.
186,Mengajar orang dewasa dengan mudah.
187,Membantu orang lain yang sedang kesedihan atau mempunyai permasalahan.
188,Memahami hubungan sosial.
189,Mengajar orang lain.
190,Membuat orang lain berasa selesa.
191,Mengetahui bagaimana menjadi pemimpin yang berjaya.
192,Menjadi seorang ahli pengucapan awam yang baik.
193,Menguruskan kempen jualan.
194,Merancang kerja orang lain.
195,Menjadi seorang yang berwawasan dan asertif.
196,Mendapatkan orang untuk melakukan sesuatu perkara dengan cara saya.
197,Menjadi jurujual yang baik.
198,Menjadi ahli bahas yang baik.
199,Merancang dengan baik.
200,Memimpin.
201,Menyimpan surat-menyurat dan kertas kerja yang lain.
202,Melakukan tugas pentadbiran (pejabat).
203,Menyediakan banyak kertas kerja dalam jangka masa yang pendek.
204,Menggunakan peralatan pemprosesan data yang mudah.
205,Menguruskan kredit dan debit.
206,Menyimpan rekod bayaran atau jualan dengan tepat.
207,Memasukkan maklumat di terminal komputer.
208,Menulis (menaip) surat perniagaan.
209,Melakukan aktiviti kebiasaan (rutin) pejabat.
210,Melakukan tugas dengan berhati-hati dan terurus.
,
" Bagi pernyataan 211 - 282, sekiranya pekerjaan yang disenaraikan menarik minat anda, sila tandakan di ruangan jawapan 'A' yang disediakan. Sekiranya pekerjaan yang disenaraikan tidak menarik minat anda, sila tandakan di ruangan jawapan 'B' yang di sediakan.",
Pekerjaan yang berikut menarik minat saya untuk menjadi seorang...,
211,Mekanik kapalterbang.
212,Mekanik kenderaan.
213,Tukang kayu.
214,Juru ukur.
215,Inspektor pembinaan.
216,Mekanik radio.
217,Jurutera keretapi.
218,Pembaiki mesin.
219,Tukang elektrik.
220,Juruterbang helikopter.
221,Juruteknik elektronik.
222,Jurukimpal.
223,Ahli kaji cuaca.
224,Ahli biologi.
225,Ahli astronomi.
226,Juruteknik makmal perubatan.
227,Ahli antropologi.
228,Ahli kimia.
229,Ahli geologi.
230,Ahli botani.
231,Ahli fizik.
232,Penyelidik sains sosial.
233,Penganalisis alam sekitar.
234,Penyelidik bebas (Sains).
235,Penyajak (Penyair).
236,Ahli muzik.
237,Penulis buku.
238,Pelakon (Penyanyi).
239,Penulis bebas.
240,Penyusun muzik.
241,Pemberita.
242,Komposer.
243,Pengukir.
244,Penulis.
245,Pelukis kartun.
246,Pelawak.
247,Kaunselor kerjaya.
248,Ahli sosiologi.
249,Guru sekolah menengah.
250,Pegawai anti dadah.
251,Pakar kenakalan juvana.
252,Ahli terapi pertuturan.
253,Kaunselor perkahwinan.
254,Ahli psikologi klinikal.
255,Kaunselor.
256,Pengarah perkemahan belia.
257,Pekerja sosial.
258,Pegawai pemulihan.
259,Eksekutif pengiklanan.
260,Eksekutif perniagaan.
261,Juru acara majlis.
262,Jurujual.
263,Agen hartanah.
264,Pengurus kedai serbaneka.
265,Pengurus jualan.
266,Eksekutif perhubungan awam.
267,Pengurus stesyen televisyen.
268,Pengusaha perniagaan kecil-kecilan.
269,Pengubal undang-undang.
270,Pengurus lapangan terbang.
271,Penyimpan kira-kira.
272,Penyemak belanjawan.
273,Akauntan awam bertauliah.
274,Penyiasat kredit.
275,Juruwang.
276,Pakar percukaian.
277,Penganalisis kewangan.
278,Penilai kos.
279,Kerani gaji.
280,Pemeriksa Bank.
281,Kerani akaun.
282,Kerani audit.
